471	translate.google.com.mx	5574665384	1	2/18/13	YAJI_DBA                      
5201	www.google.it	5575041362	1	3/26/14	SHIDLEKAR_DBA                 
675	translate.google.hu	5574639304	1	2/18/13	YAJI_DBA                      
4959	www.google.hr	5575051511	1	3/26/14	SHIDLEKAR_DBA                 
1081	www.google.by	5575025427	1	2/18/13	YAJI_DBA                      
1144	www.google.cl	5574713581	1	2/18/13	YAJI_DBA                      
4427	www.google.com.vn	5575051929	1	3/26/14	SHIDLEKAR_DBA                 
5426	www.google.lv	5574649640	1	3/26/14	SHIDLEKAR_DBA                 
4507	www.google.de	5575050289	1	3/26/14	SHIDLEKAR_DBA                 
5609	www.google.mu	5575033235	1	3/26/14	SHIDLEKAR_DBA                 
1981	www.google.com.ly	5574633013	1	2/18/13	YAJI_DBA                      
5386	www.google.lu	5574652825	1	3/26/14	SHIDLEKAR_DBA                 
4854	www.google.gr	5574670702	1	3/26/14	SHIDLEKAR_DBA                 
84	images.google.co.uk	5574687551	1	2/18/13	YAJI_DBA                      
1327	www.google.co.kr	5574707259	1	2/18/13	YAJI_DBA                      
3918	www.google.com.ph	5574859090	1	3/26/14	SHIDLEKAR_DBA                 
1268	www.google.co.jp	5574633013	1	2/18/13	YAJI_DBA                      
1859	www.google.com.gt	5574765554	1	2/18/13	YAJI_DBA                      
5283	www.google.kz	5575041362	1	3/26/14	SHIDLEKAR_DBA                 
3102	www.google.me	5574775120	1	2/18/13	YAJI_DBA                      
4347	www.google.com.uy	5574630834	1	3/26/14	SHIDLEKAR_DBA                 
4204	www.google.com.sv	5574858087	1	3/26/14	SHIDLEKAR_DBA                 
1491	www.google.com	5574765554	1	2/18/13	YAJI_DBA                      
839	webcache.googleusercontent.com	5574665384	1	2/18/13	YAJI_DBA                      
2042	www.google.com.mx	5574737746	1	2/18/13	YAJI_DBA                      
2612	www.google.es	5574674899	1	2/18/13	YAJI_DBA                      
351	translate.google.co.kr	5574634986	1	2/18/13	YAJI_DBA                      
1104	www.google.ca	5575025427	1	2/18/13	YAJI_DBA                      
3039	www.google.lv	5574633013	1	2/18/13	YAJI_DBA                      
5836	www.google.pt	5574649640	1	3/26/14	SHIDLEKAR_DBA                 
1796	www.google.com.eg	5574630747	1	2/18/13	YAJI_DBA                      
799	translate.google.ru	5574713581	1	2/18/13	YAJI_DBA                      
5752	www.google.pl	5574646203	1	3/26/14	SHIDLEKAR_DBA                 
2692	www.google.gp	5574628922	1	2/18/13	YAJI_DBA                      
2286	www.google.com.qa	5574642932	1	2/18/13	YAJI_DBA                      
2917	www.google.it	5574765554	1	2/18/13	YAJI_DBA                      
3838	www.google.com.om	5574878453	1	3/26/14	SHIDLEKAR_DBA                 
759	translate.google.pl	5575025427	1	2/18/13	YAJI_DBA                      
3632	www.google.com.mx	5574859811	1	3/26/14	SHIDLEKAR_DBA                 
1735	www.google.com.cy	5574649121	1	2/18/13	YAJI_DBA                      
63	images.google.ca	5574713581	1	2/18/13	YAJI_DBA                      
3895	www.google.com.pe	5575054094	1	3/26/14	SHIDLEKAR_DBA                 
553	translate.google.cz	5574628922	1	2/18/13	YAJI_DBA                      
4793	www.google.ge	5575045102	1	3/26/14	SHIDLEKAR_DBA                 
2635	www.google.fi	5574674899	1	2/18/13	YAJI_DBA                      
5632	www.google.mv	5574652825	1	3/26/14	SHIDLEKAR_DBA                 
3449	www.google.tn	5574966629	1	2/18/13	YAJI_DBA                      
2551	www.google.dk	5574807392	1	2/18/13	YAJI_DBA                      
3876	www.google.com.pe	5574858087	1	3/26/14	SHIDLEKAR_DBA                 
4164	www.google.com.sg	5574859090	1	3/26/14	SHIDLEKAR_DBA                 
5733	www.google.no	5575041168	1	3/26/14	SHIDLEKAR_DBA                 
1697	www.google.com.bz	5574737746	1	2/18/13	YAJI_DBA                      
5815	www.google.ps	5575041168	1	3/26/14	SHIDLEKAR_DBA                 
959	www.google.az	5574707259	1	2/18/13	YAJI_DBA                      
4162	www.google.com.sg	5574856753	1	3/26/14	SHIDLEKAR_DBA                 
963	www.google.az	5574775120	1	2/18/13	YAJI_DBA                      
6139	www.google.tn	5574910768	1	3/26/14	SHIDLEKAR_DBA                 
2694	www.google.gp	5574633013	1	2/18/13	YAJI_DBA                      
3899	www.google.com.ph	5574633365	1	3/26/14	SHIDLEKAR_DBA                 
147	images.google.fr	5574642932	1	2/18/13	YAJI_DBA                      
1880	www.google.com.hk	5574713581	1	2/18/13	YAJI_DBA                      
3264	www.google.ps	5574807392	1	2/18/13	YAJI_DBA                      
5041	www.google.hu	5575051511	1	3/26/14	SHIDLEKAR_DBA                 
309	translate.google.ca	5574649121	1	2/18/13	YAJI_DBA                      
574	translate.google.cz	5574966629	1	2/18/13	YAJI_DBA                      
3552	www.google.com.ly	5574881131	1	3/26/14	SHIDLEKAR_DBA                 
5102	www.google.iq	5574737088	1	3/26/14	SHIDLEKAR_DBA                 
3123	www.google.mn	5574737746	1	2/18/13	YAJI_DBA                      
1512	www.google.com.	5574713581	1	2/18/13	YAJI_DBA                      
3834	www.google.com.om	5574856753	1	3/26/14	SHIDLEKAR_DBA                 
2368	www.google.com.sv	5574966629	1	2/18/13	YAJI_DBA                      
2307	www.google.com.sa	5574636783	1	2/18/13	YAJI_DBA                      
1533	www.google.com.ar	5574687551	1	2/18/13	YAJI_DBA                      
3022	www.google.lu	5574642932	1	2/18/13	YAJI_DBA                      
4000	www.google.com.pr	5574859090	1	3/26/14	SHIDLEKAR_DBA                 
2166	www.google.com.pe	5574634006	1	2/18/13	YAJI_DBA                      
5241	www.google.jo	5575041168	1	3/26/14	SHIDLEKAR_DBA                 
2183	www.google.com.pe	5574807392	1	2/18/13	YAJI_DBA                      
5714	www.google.no	5574652825	1	3/26/14	SHIDLEKAR_DBA                 
4715	www.google.fi	5575054094	1	3/26/14	SHIDLEKAR_DBA                 
1348	www.google.co.ma	5574679764	1	2/18/13	YAJI_DBA                      
1001	www.google.be	5574673347	1	2/18/13	YAJI_DBA                      
5222	www.google.jo	5574652825	1	3/26/14	SHIDLEKAR_DBA                 
1125	www.google.ch	5574807392	1	2/18/13	YAJI_DBA                      
1636	www.google.com.bo	5574633013	1	2/18/13	YAJI_DBA                      
3266	www.google.ps	5575025427	1	2/18/13	YAJI_DBA                      
2370	www.google.com.tr	5574628922	1	2/18/13	YAJI_DBA                      
898	www.google.am	5574628922	1	2/18/13	YAJI_DBA                      
1472	www.google.co.za	5575025427	1	2/18/13	YAJI_DBA                      
1962	www.google.com.lb	5574636783	1	2/18/13	YAJI_DBA                      
1777	www.google.com.ec	5574634986	1	2/18/13	YAJI_DBA                      
5977	www.google.ru	5575014847	1	3/26/14	SHIDLEKAR_DBA                 
4244	www.google.com.tr	5574856753	1	3/26/14	SHIDLEKAR_DBA                 
532	translate.google.com.vn	5574633013	1	2/18/13	YAJI_DBA                      
4572	www.google.dz	5574856753	1	3/26/14	SHIDLEKAR_DBA                 
1615	www.google.com.bn	5574634750	1	2/18/13	YAJI_DBA                      
576	translate.google.de	5574628922	1	2/18/13	YAJI_DBA                      
370	translate.google.co.uk	5574630747	1	2/18/13	YAJI_DBA                      
3531	www.google.com.ly	5574636706	1	3/26/14	SHIDLEKAR_DBA                 
1653	www.google.com.bo	5574775120	1	2/18/13	YAJI_DBA                      
3430	www.google.tn	5574633013	1	2/18/13	YAJI_DBA                      
3569	www.google.com.mt	5574631219	1	3/26/14	SHIDLEKAR_DBA                 
286	plus.url.google.com	5574649121	1	2/18/13	YAJI_DBA                      
5508	www.google.me	5574649640	1	3/26/14	SHIDLEKAR_DBA                 
2513	www.google.de	5574634986	1	2/18/13	YAJI_DBA                      
3817	www.google.com.om	5574633365	1	3/26/14	SHIDLEKAR_DBA                 
4532	www.google.dk	5574858087	1	3/26/14	SHIDLEKAR_DBA                 
1878	www.google.com.hk	5574687551	1	2/18/13	YAJI_DBA                      
757	translate.google.pl	5574807392	1	2/18/13	YAJI_DBA                      
267	news.google.com	5574679764	1	2/18/13	YAJI_DBA                      
408	translate.google.com	5574713581	1	2/18/13	YAJI_DBA                      
25	google.com	5574630747	1	2/18/13	YAJI_DBA                      
2429	www.google.com.ua	5574679764	1	2/18/13	YAJI_DBA                      
2593	www.google.ee	5574713581	1	2/18/13	YAJI_DBA                      
2982	www.google.lk	5574687551	1	2/18/13	YAJI_DBA                      
6202	www.googletvforum.org	5574643520	1	3/26/14	SHIDLEKAR_DBA                 
1571	www.google.com.bd	5574636783	1	2/18/13	YAJI_DBA                      
1575	www.google.com.bd	5574665384	1	2/18/13	YAJI_DBA                      
3407	www.google.sk	5574633013	1	2/18/13	YAJI_DBA                      
5855	www.google.pt	5575033235	1	3/26/14	SHIDLEKAR_DBA                 
2103	www.google.com.ni	5574649121	1	2/18/13	YAJI_DBA                      
2408	www.google.com.tw	5574707259	1	2/18/13	YAJI_DBA                      
4875	www.google.gr	5575045102	1	3/26/14	SHIDLEKAR_DBA                 
1758	www.google.com.do	5574649121	1	2/18/13	YAJI_DBA                      
5119	www.google.iq	5575041362	1	3/26/14	SHIDLEKAR_DBA                 
250	maps.google.de	5574775120	1	2/18/13	YAJI_DBA                      
1779	www.google.com.ec	5574639304	1	2/18/13	YAJI_DBA                      
3186	www.google.nl	5574673347	1	2/18/13	YAJI_DBA                      
4263	www.google.com.tr	5575051929	1	3/26/14	SHIDLEKAR_DBA                 
5266	www.google.kz	5574737088	1	3/26/14	SHIDLEKAR_DBA                 
780	translate.google.ro	5574807392	1	2/18/13	YAJI_DBA                      
6221	www.googletvforum.org	5574910768	1	3/26/14	SHIDLEKAR_DBA                 
2145	www.google.com.om	5574634986	1	2/18/13	YAJI_DBA                      
4570	www.google.dz	5574753751	1	3/26/14	SHIDLEKAR_DBA                 
2795	www.google.ht	5574673347	1	2/18/13	YAJI_DBA                      
635	translate.google.fr	5574679764	1	2/18/13	YAJI_DBA                      
4650	www.google.es	5574693068	1	3/26/14	SHIDLEKAR_DBA                 
86	images.google.co.uk	5574713581	1	2/18/13	YAJI_DBA                      
5958	www.google.ru	5574646209	1	3/26/14	SHIDLEKAR_DBA                 
5161	www.google.is	5575042380	1	3/26/14	SHIDLEKAR_DBA                 
3409	www.google.sk	5574634750	1	2/18/13	YAJI_DBA                      
2225	www.google.com.pk	5574713581	1	2/18/13	YAJI_DBA                      
6021	www.google.se	5575041362	1	3/26/14	SHIDLEKAR_DBA                 
5245	www.google.jo	5575050289	1	3/26/14	SHIDLEKAR_DBA                 
4286	www.google.com.tw	5574858087	1	3/26/14	SHIDLEKAR_DBA                 
1207	www.google.co.id	5574665384	1	2/18/13	YAJI_DBA                      
5857	www.google.pt	5575041362	1	3/26/14	SHIDLEKAR_DBA                 
1367	www.google.co.nz	5574649121	1	2/18/13	YAJI_DBA                      
1085	www.google.ca	5574634006	1	2/18/13	YAJI_DBA                      
1756	www.google.com.do	5574639304	1	2/18/13	YAJI_DBA                      
4837	www.google.gp	5575051929	1	3/26/14	SHIDLEKAR_DBA                 
3716	www.google.com.ng	5574881131	1	3/26/14	SHIDLEKAR_DBA                 
3510	www.google.com.lb	5574878453	1	3/26/14	SHIDLEKAR_DBA                 
3224	www.google.pl	5574634006	1	2/18/13	YAJI_DBA                      
4305	www.google.com.tw	5575054094	1	3/26/14	SHIDLEKAR_DBA                 
5937	www.google.rs	5575033235	1	3/26/14	SHIDLEKAR_DBA                 
6	feedproxy.google.com	5574634986	1	2/18/13	YAJI_DBA                      
3001	www.google.lt	5574665384	1	2/18/13	YAJI_DBA                      
2269	www.google.com.py	5574687551	1	2/18/13	YAJI_DBA                      
984	www.google.ba	5574737746	1	2/18/13	YAJI_DBA                      
4713	www.google.fi	5575051511	1	3/26/14	SHIDLEKAR_DBA                 
1613	www.google.com.bn	5574633013	1	2/18/13	YAJI_DBA                      
4818	www.google.gp	5574856753	1	3/26/14	SHIDLEKAR_DBA                 
5548	www.google.mn	5574646209	1	3/26/14	SHIDLEKAR_DBA                 
5020	www.google.hu	5574737088	1	3/26/14	SHIDLEKAR_DBA                 
1146	www.google.cl	5574765554	1	2/18/13	YAJI_DBA                      
2471	www.google.com.vn	5574649121	1	2/18/13	YAJI_DBA                      
5001	www.google.ht	5575051929	1	3/26/14	SHIDLEKAR_DBA                 
1226	www.google.co.il	5574636783	1	2/18/13	YAJI_DBA                      
5348	www.google.lt	5574737088	1	3/26/14	SHIDLEKAR_DBA                 
2637	www.google.fi	5574687551	1	2/18/13	YAJI_DBA                      
1413	www.google.co.uk	5574649121	1	2/18/13	YAJI_DBA                      
4084	www.google.com.qa	5574878453	1	3/26/14	SHIDLEKAR_DBA                 
614	translate.google.es	5574707259	1	2/18/13	YAJI_DBA                      
5470	www.google.md	5574693068	1	3/26/14	SHIDLEKAR_DBA                 
3167	www.google.mv	5574707259	1	2/18/13	YAJI_DBA                      
5451	www.google.lv	5575051511	1	3/26/14	SHIDLEKAR_DBA                 
2534	www.google.dk	5574634006	1	2/18/13	YAJI_DBA                      
1003	www.google.be	5574679764	1	2/18/13	YAJI_DBA                      
4	feedproxy.google.com	5574634006	1	2/18/13	YAJI_DBA                      
3735	www.google.com.ni	5574633365	1	3/26/14	SHIDLEKAR_DBA                 
4370	www.google.com.uy	5574859811	1	3/26/14	SHIDLEKAR_DBA                 
1535	www.google.com.ar	5574713581	1	2/18/13	YAJI_DBA                      
5346	www.google.lt	5574670702	1	3/26/14	SHIDLEKAR_DBA                 
1127	www.google.ch	5575025427	1	2/18/13	YAJI_DBA                      
4141	www.google.com.sa	5575054094	1	3/26/14	SHIDLEKAR_DBA                 
3840	www.google.com.om	5574889203	1	3/26/14	SHIDLEKAR_DBA                 
1106	www.google.ch	5574630747	1	2/18/13	YAJI_DBA                      
921	www.google.at	5574628922	1	2/18/13	YAJI_DBA                      
5390	www.google.lu	5574753751	1	3/26/14	SHIDLEKAR_DBA                 
1411	www.google.co.uk	5574639304	1	2/18/13	YAJI_DBA                      
3962	www.google.com.pk	5574881131	1	3/26/14	SHIDLEKAR_DBA                 
5653	www.google.mv	5575042380	1	3/26/14	SHIDLEKAR_DBA                 
6225	www.googletvforum.org	5575041168	1	3/26/14	SHIDLEKAR_DBA                 
1167	www.google.cm	5574713581	1	2/18/13	YAJI_DBA                      
4309	www.google.com.ua	5574633365	1	3/26/14	SHIDLEKAR_DBA                 
1760	www.google.com.do	5574673347	1	2/18/13	YAJI_DBA                      
2614	www.google.es	5574687551	1	2/18/13	YAJI_DBA                      
5615	www.google.mu	5575051511	1	3/26/14	SHIDLEKAR_DBA                 
4534	www.google.dk	5574859811	1	3/26/14	SHIDLEKAR_DBA                 
3922	www.google.com.ph	5574889203	1	3/26/14	SHIDLEKAR_DBA                 
229	mail.google.com	5574966629	1	2/18/13	YAJI_DBA                      
5125	www.google.iq	5575054094	1	3/26/14	SHIDLEKAR_DBA                 
3897	www.google.com.ph	5574631219	1	3/26/14	SHIDLEKAR_DBA                 
3289	www.google.pt	5575025427	1	2/18/13	YAJI_DBA                      
656	translate.google.gr	5574673347	1	2/18/13	YAJI_DBA                      
2065	www.google.com.my	5574737746	1	2/18/13	YAJI_DBA                      
1552	www.google.com.au	5574665384	1	2/18/13	YAJI_DBA                      
5998	www.google.se	5574646203	1	3/26/14	SHIDLEKAR_DBA                 
3228	www.google.pl	5574639304	1	2/18/13	YAJI_DBA                      
4307	www.google.com.ua	5574631219	1	3/26/14	SHIDLEKAR_DBA                 
3777	www.google.com.np	5574636706	1	3/26/14	SHIDLEKAR_DBA                 
2452	www.google.com.uy	5574679764	1	2/18/13	YAJI_DBA                      
6122	www.google.tn	5574646209	1	3/26/14	SHIDLEKAR_DBA                 
414	translate.google.com	5575025427	1	2/18/13	YAJI_DBA                      
1901	www.google.com.jm	5574687551	1	2/18/13	YAJI_DBA                      
4551	www.google.dk	5575054094	1	3/26/14	SHIDLEKAR_DBA                 
170	images.google.it	5574642932	1	2/18/13	YAJI_DBA                      
496	translate.google.com.tr	5574674899	1	2/18/13	YAJI_DBA                      
1695	www.google.com.bz	5574707259	1	2/18/13	YAJI_DBA                      
6002	www.google.se	5574670702	1	3/26/14	SHIDLEKAR_DBA                 
3983	www.google.com.pr	5574637504	1	3/26/14	SHIDLEKAR_DBA                 
2311	www.google.com.sa	5574665384	1	2/18/13	YAJI_DBA                      
797	translate.google.ru	5574687551	1	2/18/13	YAJI_DBA                      
4450	www.google.cz	5574858087	1	3/26/14	SHIDLEKAR_DBA                 
3758	www.google.com.ni	5574889203	1	3/26/14	SHIDLEKAR_DBA                 
6061	www.google.si	5575041168	1	3/26/14	SHIDLEKAR_DBA                 
2961	www.google.kz	5574713581	1	2/18/13	YAJI_DBA                      
3125	www.google.mn	5574775120	1	2/18/13	YAJI_DBA                      
4635	www.google.es	5574631219	1	3/26/14	SHIDLEKAR_DBA                 
46	google.com	5575025427	1	2/18/13	YAJI_DBA                      
3674	www.google.com.my	5574878453	1	3/26/14	SHIDLEKAR_DBA                 
4694	www.google.fi	5574852455	1	3/26/14	SHIDLEKAR_DBA                 
5287	www.google.kz	5575051511	1	3/26/14	SHIDLEKAR_DBA                 
2046	www.google.com.mx	5574966629	1	2/18/13	YAJI_DBA                      
4982	www.google.ht	5574856753	1	3/26/14	SHIDLEKAR_DBA                 
4530	www.google.dk	5574852455	1	3/26/14	SHIDLEKAR_DBA                 
6000	www.google.se	5574649640	1	3/26/14	SHIDLEKAR_DBA                 
353	translate.google.co.kr	5574639304	1	2/18/13	YAJI_DBA                      
3411	www.google.sk	5574636783	1	2/18/13	YAJI_DBA                      
252	maps.google.de	5574966629	1	2/18/13	YAJI_DBA                      
1657	www.google.com.br	5574628922	1	2/18/13	YAJI_DBA                      
719	translate.google.nl	5574634986	1	2/18/13	YAJI_DBA                      
1556	www.google.com.au	5574687551	1	2/18/13	YAJI_DBA                      
5592	www.google.mu	5574670702	1	3/26/14	SHIDLEKAR_DBA                 
2942	www.google.jo	5574807392	1	2/18/13	YAJI_DBA                      
5918	www.google.rs	5574649640	1	3/26/14	SHIDLEKAR_DBA                 
2105	www.google.com.ni	5574673347	1	2/18/13	YAJI_DBA                      
5693	www.google.nl	5575041362	1	3/26/14	SHIDLEKAR_DBA                 
5550	www.google.mn	5574652825	1	3/26/14	SHIDLEKAR_DBA                 
881	www.google.al	5574636783	1	2/18/13	YAJI_DBA                      
1823	www.google.com.gh	5574634986	1	2/18/13	YAJI_DBA                      
4919	www.google.hn	5575051929	1	3/26/14	SHIDLEKAR_DBA                 
3291	www.google.ro	5574630747	1	2/18/13	YAJI_DBA                      
2353	www.google.com.sv	5574636783	1	2/18/13	YAJI_DBA                      
5228	www.google.jo	5574856753	1	3/26/14	SHIDLEKAR_DBA                 
3678	www.google.com.my	5574905416	1	3/26/14	SHIDLEKAR_DBA                 
6023	www.google.se	5575045102	1	3/26/14	SHIDLEKAR_DBA                 
4591	www.google.dz	5575051929	1	3/26/14	SHIDLEKAR_DBA                 
5941	www.google.rs	5575045102	1	3/26/14	SHIDLEKAR_DBA                 
2633	www.google.fi	5574665384	1	2/18/13	YAJI_DBA                      
5636	www.google.mv	5574753751	1	3/26/14	SHIDLEKAR_DBA                 
5003	www.google.hu	5574630834	1	3/26/14	SHIDLEKAR_DBA                 
4288	www.google.com.tw	5574859811	1	3/26/14	SHIDLEKAR_DBA                 
5552	www.google.mn	5574693068	1	3/26/14	SHIDLEKAR_DBA                 
5146	www.google.is	5574856753	1	3/26/14	SHIDLEKAR_DBA                 
6227	www.googletvforum.org	5575042380	1	3/26/14	SHIDLEKAR_DBA                 
5062	www.google.ie	5574753751	1	3/26/14	SHIDLEKAR_DBA                 
3104	www.google.me	5574966629	1	2/18/13	YAJI_DBA                      
5575	www.google.mn	5575051929	1	3/26/14	SHIDLEKAR_DBA                 
515	translate.google.com.ua	5574642932	1	2/18/13	YAJI_DBA                      
2025	www.google.com.mx	5574628922	1	2/18/13	YAJI_DBA                      
5224	www.google.jo	5574693068	1	3/26/14	SHIDLEKAR_DBA                 
458	translate.google.com.hk	5574807392	1	2/18/13	YAJI_DBA                      
3394	www.google.si	5574674899	1	2/18/13	YAJI_DBA                      
4368	www.google.com.uy	5574858087	1	3/26/14	SHIDLEKAR_DBA                 
3144	www.google.mu	5574707259	1	2/18/13	YAJI_DBA                      
3737	www.google.com.ni	5574637504	1	3/26/14	SHIDLEKAR_DBA                 
4143	www.google.com.sg	5574631219	1	3/26/14	SHIDLEKAR_DBA                 
4454	www.google.cz	5574881131	1	3/26/14	SHIDLEKAR_DBA                 
4896	www.google.hn	5574693068	1	3/26/14	SHIDLEKAR_DBA                 
1266	www.google.co.jp	5574628922	1	2/18/13	YAJI_DBA                      
2210	www.google.com.pk	5574630747	1	2/18/13	YAJI_DBA                      
3020	www.google.lu	5574636783	1	2/18/13	YAJI_DBA                      
4738	www.google.fr	5574859090	1	3/26/14	SHIDLEKAR_DBA                 
1979	www.google.com.ly	5574628922	1	2/18/13	YAJI_DBA                      
1943	www.google.com.kw	5574665384	1	2/18/13	YAJI_DBA                      
4208	www.google.com.sv	5574881131	1	3/26/14	SHIDLEKAR_DBA                 
231	maps.google.de	5574628922	1	2/18/13	YAJI_DBA                      
4595	www.google.ee	5574631264	1	3/26/14	SHIDLEKAR_DBA                 
3693	www.google.com.ng	5574631264	1	3/26/14	SHIDLEKAR_DBA                 
4923	www.google.hr	5574631264	1	3/26/14	SHIDLEKAR_DBA                 
5819	www.google.ps	5575050289	1	3/26/14	SHIDLEKAR_DBA                 
4471	www.google.de	5574631219	1	3/26/14	SHIDLEKAR_DBA                 
1579	www.google.com.bd	5574687551	1	2/18/13	YAJI_DBA                      
2839	www.google.ie	5574649121	1	2/18/13	YAJI_DBA                      
944	www.google.az	5574628922	1	2/18/13	YAJI_DBA                      
1169	www.google.cm	5574765554	1	2/18/13	YAJI_DBA                      
1659	www.google.com.br	5574633013	1	2/18/13	YAJI_DBA                      
5068	www.google.ie	5574878453	1	3/26/14	SHIDLEKAR_DBA                 
126	images.google.de	5574665384	1	2/18/13	YAJI_DBA                      
3268	www.google.pt	5574630747	1	2/18/13	YAJI_DBA                      
2172	www.google.com.pe	5574649121	1	2/18/13	YAJI_DBA                      
4900	www.google.hn	5574856753	1	3/26/14	SHIDLEKAR_DBA                 
2498	www.google.cz	5574679764	1	2/18/13	YAJI_DBA                      
6185	www.google.tt	5575041362	1	3/26/14	SHIDLEKAR_DBA                 
1495	www.google.com	5575025427	1	2/18/13	YAJI_DBA                      
4761	www.google.ge	5574636706	1	3/26/14	SHIDLEKAR_DBA                 
3573	www.google.com.mt	5574637504	1	3/26/14	SHIDLEKAR_DBA                 
4353	www.google.com.uy	5574639794	1	3/26/14	SHIDLEKAR_DBA                 
2084	www.google.com.ng	5574679764	1	2/18/13	YAJI_DBA                      
5087	www.google.iq	5574631264	1	3/26/14	SHIDLEKAR_DBA                 
2288	www.google.com.qa	5574665384	1	2/18/13	YAJI_DBA                      
1817	www.google.com.eg	5575025427	1	2/18/13	YAJI_DBA                      
3985	www.google.com.pr	5574640115	1	3/26/14	SHIDLEKAR_DBA                 
437	translate.google.com.br	5575025427	1	2/18/13	YAJI_DBA                      
498	translate.google.com.tr	5574687551	1	2/18/13	YAJI_DBA                      
5840	www.google.pt	5574737088	1	3/26/14	SHIDLEKAR_DBA                 
1476	www.google.com	5574634006	1	2/18/13	YAJI_DBA                      
6004	www.google.se	5574737088	1	3/26/14	SHIDLEKAR_DBA                 
4679	www.google.fi	5574636706	1	3/26/14	SHIDLEKAR_DBA                 
4351	www.google.com.uy	5574636706	1	3/26/14	SHIDLEKAR_DBA                 
6208	www.googletvforum.org	5574693068	1	3/26/14	SHIDLEKAR_DBA                 
2088	www.google.com.ng	5574737746	1	2/18/13	YAJI_DBA                      
5466	www.google.md	5574646209	1	3/26/14	SHIDLEKAR_DBA                 
3453	www.google.tt	5574633013	1	2/18/13	YAJI_DBA                      
5209	www.google.jo	5574631219	1	3/26/14	SHIDLEKAR_DBA                 
6105	www.google.sk	5575045102	1	3/26/14	SHIDLEKAR_DBA                 
456	translate.google.com.hk	5574765554	1	2/18/13	YAJI_DBA                      
5697	www.google.nl	5575051511	1	3/26/14	SHIDLEKAR_DBA                 
6044	www.google.si	5574693068	1	3/26/14	SHIDLEKAR_DBA                 
3045	www.google.lv	5574642932	1	2/18/13	YAJI_DBA                      
2374	www.google.com.tr	5574634750	1	2/18/13	YAJI_DBA                      
